District,Actual,Predicted,Error
AMPARA,0.4109943287016885,0.41032085,0.01101811712729712
ANURADHAPURA,0.4016104599719626,0.3908183,0.014825447212170356
BADULLA,0.38395625429903535,0.3707534,0.026076241474653605
BATTICALOA,0.31866075408948547,0.31885126,0.014789236366605415
COLOMBO,0.2671931486119403,0.2618487,0.015665417255057264
GALLE,0.26023826369375,0.25601944,0.017789588922275397
GAMPAHA,0.3021612615725191,0.29434344,0.015424506108330472
HAMBANTOTA,0.4974027292912281,0.4822845,0.029546914918582263
JAFFNA,0.24800239608536587,0.25310734,0.01956296879882394
KALUTARA,0.2834442606255924,0.2726332,0.016812808450889515
KANDY,0.35307977381333333,0.34453887,0.03235460374122009
KILLINOCHCHI,0.359141723277512,0.3484746,0.017251607402895372
KURUNEGALA,0.35456339594153846,0.35596392,0.011405067421844474
MANNAR,0.3831891404477612,0.37882617,0.02968019594650423
MATALE,0.4062039916486487,0.38749903,0.029346196498921784
MATARA,0.3275916528666667,0.3089508,0.02496440074519043
MULATIVU,0.3576781933860759,0.34945375,0.018677448226424448
NUWARAELIYA,0.3473180842692308,0.33876818,0.025738325942312394
POLONNARUWA,0.443162166820946,0.43286106,0.01733877411487873
PUTTALAM,0.35193273029411765,0.34450746,0.028536548962986304
RATNAPURA,0.3570845950756303,0.34835744,0.029266867303707738
TRINCOMALEE,0.39754312008139536,0.38630134,0.01500467231263345
VAVUNIYA,0.39185446094578313,0.37342885,0.021589098365776195
