District,Actual,Predicted,Error
AMPARA,0.39045365,0.41751197,0.02705833814465451
ANURADHAPURA,0.387146008,0.40637714,0.024493278841662025
BADULLA,0.40984553599999995,0.37926167,0.031154805085570163
BATTICALOA,0.320099241,0.3844622,0.06436295041284627
COLOMBO,0.213361657,0.24247235,0.02911069766133463
GALLE,0.195225134,0.24109076,0.04586561485540821
GAMPAHA,0.23010837800000003,0.27151927,0.0414109043892548
HAMBANTOTA,0.457822822,0.47212213,0.03648272654566065
KALUTARA,0.223854662,0.25084907,0.026994402500605464
KANDY,0.338567581,0.35178024,0.01627330598337848
KILLINOCHCHI,0.358924185,0.37081107,0.014920758441199684
KURUNEGALA,0.310208351,0.34871107,0.04471320669925945
MANNAR,0.434403183,0.33559027,0.09881291713545035
MATALE,0.357845607,0.37338457,0.020554481332893983
MATARA,0.269894339,0.27625284,0.01494455435163856
MULATIVU,0.397562189,0.3722333,0.02616230817487055
NUWARAELIYA,0.370823615,0.32387555,0.04694806312601263
POLONNARUWA,0.442645824,0.4256839,0.016961940011872602
PUTTALAM,0.342907357,0.3538298,0.02271107199686279
RATNAPURA,0.377520596,0.3358258,0.04229500145832671
TRINCOMALEE,0.42937929699999994,0.37934673,0.05097711918505207
VAVUNIYA,0.36639900300000006,0.35255125,0.01415467260024925
