District,Actual,Predicted,Error
AMPARA,0.39045365,0.4014454,0.01320806299455839
ANURADHAPURA,0.387146008,0.40268135,0.02330387270083187
BADULLA,0.40984553599999995,0.38502887,0.024816645844268646
BATTICALOA,0.320099241,0.3679202,0.04795235516419519
COLOMBO,0.213361657,0.24534096,0.03197928904578884
GALLE,0.195225134,0.24312945,0.04790431437073063
GAMPAHA,0.23010837800000003,0.28300413,0.05289577818079049
HAMBANTOTA,0.457822822,0.40985316,0.048128489194799166
KALUTARA,0.223854662,0.26491112,0.04146687148840844
KANDY,0.338567581,0.3543359,0.01811756911960719
KILLINOCHCHI,0.358924185,0.37500662,0.019590981232092554
KURUNEGALA,0.310208351,0.33104956,0.028167868410884825
MANNAR,0.434403183,0.34479296,0.08961022231187477
MATALE,0.357845607,0.38492575,0.027799463064970678
MATARA,0.269894339,0.28907847,0.023524268647496
MULATIVU,0.397562189,0.37545285,0.02210935630536077
NUWARAELIYA,0.370823615,0.33039194,0.04043166883595553
POLONNARUWA,0.442645824,0.4483837,0.02094698612679321
PUTTALAM,0.342907357,0.3679693,0.038385433839684034
RATNAPURA,0.377520596,0.32838184,0.05171737895343016
TRINCOMALEE,0.42937929699999994,0.39213583,0.03724345177400844
VAVUNIYA,0.36639900300000006,0.380799,0.01454474422894287
